"","V1","V2"
"2239",47.0903779635625,-122.37256528375
"2243",37.7543445580556,-122.371265431181
"2297",47.0872734897306,-122.354817886055
"2361",47.5645862712173,-122.338569526965
"2374",37.9217072172292,-122.338654854813
"2427",47.5681447091638,-122.324147427096
"2444",47.5528638309483,-122.322253513362
"2445",48.4561127419001,-122.319644867652
"2458",47.1906172325636,-122.3169299786
"2465",37.8988021145209,-122.315515476687
"2481",37.5520213319231,-122.310124057885
"2490",47.2852617357752,-122.309596956829
"2493",47.3109344182857,-122.309250683786
"2495",47.2198210783609,-122.308996227966
"2498",47.2122316720752,-122.308672401017
"2502",37.8949821974276,-122.309204944108
"2503",47.1546735272333,-122.308805707133
"2504",47.3231416783766,-122.308389929675
"2505",38.3214574297561,-122.307822269268
"2506",47.4160238399783,-122.308924965457
"2522",47.1858819510046,-122.301556332279
"2524",37.8056448818969,-122.302345233224
"2528",47.2119413744988,-122.299126115628
"2535",37.7932364201215,-122.299810909032
"2566",47.1610589852,-122.292408238822
"2592",47.5098869061846,-122.287199860859
"2648",47.499609558137,-122.273416400252
"2650",48.0663177596562,-122.273798371919
"2677",40.2513224588947,-122.267857405674
"2702",38.1975559991885,-122.260971636806
"2705",47.8955819090076,-122.259878177856
"2713",38.1930756270044,-122.258804689397
"2745",47.9410753435631,-122.249644440778
"2766",47.3908518550437,-122.247823503799
"2767",47.2171321618427,-122.247811752523
"2770",47.1775096258333,-122.247877421667
"2773",47.4266110680877,-122.24680872207
"2774",47.1849428866655,-122.247559515394
"2775",47.2717766223988,-122.247877381884
"2795",47.4197461624432,-122.242255601212
"2801",47.3968763598673,-122.239986130163
"2814",47.2260999216296,-122.237437858901
"2825",47.2765052470059,-122.23570714892
"2827",47.402190784106,-122.235359176478
"2834",47.3083509261111,-122.232448611111
"2844",47.4319231026408,-122.232642558659
"2845",47.2737275028314,-122.230497521153
"2847",47.2293680697124,-122.23107414571
"2848",40.1632474797464,-122.231195255145
"2851",47.3304542847774,-122.230731023518
"2852",38.0620641221494,-122.230755184436
"2859",38.1386493355392,-122.23037118902
"2860",38.053953984825,-122.229798789875
"2862",38.1028650533036,-122.230265125625
"2864",47.4044109978373,-122.229968408668
"2866",47.422020509,-122.228162340543
"2897",37.7610382198214,-122.220018968494
"2902",40.157220930686,-122.219936226919
"2922",47.4407102670732,-122.214090022912
"2925",38.1333341077083,-122.21372823858
"2941",47.904992261966,-122.210869539068
"2966",37.7644097478143,-122.206038763537
"3039",37.7263333952354,-122.190821624523
"3040",39.9408488263636,-122.190940758068
"3048",39.9014673451144,-122.189887108723
"3050",48.0795076444853,-122.18975632492
"3053",37.7328175,-122.189657776667
"3059",40.1137413788464,-122.186986889129
"3078",48.1470514189801,-122.183412181223
"3083",39.9112158577644,-122.182419229724
"3091",39.9013464649762,-122.179537895719
"3103",40.1213721981417,-122.176860477875
"3131",37.702016529626,-122.169016730213
"3174",37.7064153455318,-122.151698722436
